,0,1,2,3,4,5,6
2020-07-31,"['A010060', 267]","['A042670', 1406]","['A005690', 1589]","['A007810', 370]","['A010770', 10702]",,
2020-08-31,"['A010060', 342]","['A069620', 38]","['A019170', 8]","['A042670', 6201]","['A004830', 437]","['A010770', 10351]",
2020-09-30,"['A042670', 9562]","['A010770', 11815]",,,,,
2020-10-31,"['A069260', 492]","['A005690', 2199]","['A034120', 3071]","['A004830', 701]","['A010770', 18735]",,
2020-11-30,"['A010620', 943]","['A000210', 352]","['A000150', 360]","['A039130', 125]","['A005950', 2481]","['A004830', 349]","['A010770', 8049]"
2020-12-31,"['A069620', 510]","['A005950', 1728]","['A010770', 19392]",,,,
2021-01-31,"['A039130', 130]","['A005950', 4452]","['A007810', 2269]","['A009580', 10845]","['A010770', 24582]",,
2021-02-28,"['A039130', 1068]","['A002350', 25576]",,,,,
2021-03-31,"['A047050', 1757]","['A039130', 474]","['A004830', 2399]","['A010770', 52332]",,,
2021-04-30,"['A047050', 1379]","['A010060', 33]","['A004170', 367]","['A000150', 2554]","['A010770', 26506]",,
2021-05-31,"['A008770', 1496]","['A000150', 613]","['A042670', 3449]","['A039130', 2144]",,,
2021-06-30,"['A047050', 1125]","['A042670', 9077]","['A103590', 5671]","['A010770', 64947]",,,
2021-07-31,"['A047050', 6224]","['A004830', 2138]","['A010770', 102018]",,,,
2021-08-31,"['A010060', 1667]","['A004830', 496]","['A010770', 107137]",,,,
2021-09-30,"['A010060', 3359]","['A000150', 264]","['A042670', 2760]","['A039130', 8104]","['A008730', 540]",,
2021-10-31,"['A000150', 3402]","['A007810', 7080]","['A004830', 3186]","['A010770', 210511]",,,
2021-11-30,"['A007810', 38469]","['A010770', 233957]",,,,,
2021-12-31,"['A039130', 3671]","['A004980', 62056]","['A010770', 220040]",,,,
2022-01-31,"['A086790', 72902]",,,,,,
2022-02-28,"['A086790', 7704]","['A010140', 298889]","['A008770', 5084]","['A004170', 3260]",,,
2022-03-31,"['A010060', 2036]","['A000150', 11306]","['A039130', 12995]","['A004830', 3750]","['A010770', 240987]",,
2022-04-30,"['A009580', 502490]","['A001790', 336679]",,,,,
2022-05-31,"['A000210', 28003]","['A001790', 143713]","['A103590', 193392]","['A010770', 465480]",,,
2022-06-30,"['A010620', 66217]",,,,,,
2022-07-31,"['A002350', 765984]","['A010770', 452564]",,,,,
