,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,relativeMA1M,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,7300,9770,7992,7090,13200,9014,6500,8150,7666,7090,1.2552301255230125,-27.0,7.04,-1.35,-21.51,84198,0.0642,0.0806,0.0566,0.0611,4.79,-2.01
1,2000-01-31,7150,8300,7491,7000,12000,8722,6500,7150,7078,7000,0.9167224080267559,-27.41,-20.82,-0.69,-29.9,30638,0.0594,0.0434,0.0542,0.0546,4.78,-2.05
2,2000-02-29,7710,7710,6959,6050,12000,8514,6050,7710,7184,6330,-0.10845175766641736,1.45,-2.16,27.44,-13.37,103848,0.0621,0.0583,0.0544,0.0617,5.07,8.13
3,2000-03-31,7750,9300,8243,7750,12000,8425,6050,8800,8092,7750,-0.41509433962264153,6.16,-3.13,-11.83,-14.84,84928,0.0566,0.0501,0.056,0.051,5.05,0.52
4,2000-04-30,6130,7780,6765,5920,12000,8270,5920,6410,6144,5950,0.4195574162679426,-14.03,-35.47,-5.69,-33.44,24428,0.0551,0.0537,0.0577,0.056,5.06,-26.41
5,2000-05-31,5640,7020,5943,4520,12000,7996,4520,5960,5578,5300,0.8600256245996157,-26.85,-28.61,8.67,-31.22,50200,0.0611,0.0726,0.0589,0.061,5.12,-7.99
6,2000-06-30,5400,6320,5520,5200,12000,7824,4520,5660,5448,5300,1.807919621749409,-30.59,-26.03,2.86,-16.92,29472,0.055,0.0498,0.0602,0.0588,5.16,0.0
7,2000-07-31,5100,5960,5425,4920,12000,7575,4520,5400,5248,5060,0.3860294117647059,-16.8,-28.67,3.66,-43.52,59232,0.0548,0.0356,0.0574,0.0538,5.13,-5.56
8,2000-08-31,5760,5800,5375,4970,12000,7274,4520,5780,5586,5400,-0.07888888888888888,2.13,-25.29,-0.69,-27.0,66776,0.0496,0.0286,0.0561,0.0383,5.12,12.94
9,2000-09-30,5900,7250,6055,5430,11750,7059,4520,6040,5872,5760,-0.32868757259001163,11.32,-24.36,3.33,-34.44,105660,0.0528,0.0687,0.0557,0.0463,5.09,8.46
10,2000-10-31,5000,6070,5391,5000,10000,6679,4520,5250,5066,5000,0.039805036555645816,-1.96,-18.43,-7.41,-49.24,41190,0.0521,0.0505,0.0531,0.0508,5.37,-15.25
11,2000-11-30,5120,5690,5296,5030,9770,6355,4520,5320,5230,5120,0.3245240125035522,-11.42,-5.19,1.79,-35.19,25976,0.0452,0.0327,0.0533,0.0514,5.32,2.4
12,2000-12-31,5040,6380,5360,4890,9300,6163,4520,6000,5486,5040,0.46912181303116146,-16.56,-7.18,-16.0,-35.3,242168,0.0489,0.0678,0.0523,0.0516,6.08,-3.82
13,2001-01-31,6610,7000,6400,5040,9300,6064,4520,6610,6540,6470,-4.264900662251656,32.2,29.61,0.3,-7.55,125374,0.0518,0.0534,0.0531,0.0525,5.27,31.15
14,2001-02-28,6750,7180,6867,6630,9300,6057,4520,6900,6764,6670,-2.5283185840707962,28.57,25.0,0.0,-11.3,70604,0.0512,0.0202,0.0508,0.0505,5.06,4.17
15,2001-03-31,5800,6600,6053,5750,7750,5865,4520,6110,5966,5800,-0.5925343811394892,15.08,-1.69,-0.34,-25.45,29838,0.0455,0.0345,0.0492,0.0387,4.96,-14.07
16,2001-04-30,5800,5800,5552,5250,7250,5772,4520,5800,5646,5480,2.128252788104089,-11.45,16.0,5.07,-5.38,63132,0.0414,0.0208,0.047,0.0261,5.01,0.0
17,2001-05-31,6750,6750,6128,5690,7250,5788,4890,6750,6466,6320,0.0,0.0,31.84,5.97,19.68,93852,0.0402,0.02,0.0425,0.0257,5.01,16.38
18,2001-06-30,6490,7200,6790,6300,7250,5891,4890,6550,6428,6300,0.44543429844098,10.0,28.77,-2.99,22.45,30270,0.0278,0.0213,0.0406,0.0199,4.99,1.41
19,2001-07-31,7040,7040,6652,6300,7250,5997,4890,7040,6732,6450,0.5620399579390115,21.38,6.51,7.65,38.04,60584,0.0235,0.0237,0.0399,0.0214,4.77,8.47
20,2001-08-31,9100,10550,8291,6720,10550,6251,4890,10550,9822,9100,0.6002759096395931,34.81,34.81,-1.19,57.99,558550,0.0331,0.0598,0.0427,0.0392,4.54,29.26
