,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA1M,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,19000,22500,20515,17500,42000,27016,17500,19000,18320,17500,-12.44,-29.45,-31.89,-6.86,6.32,21414,0.0381,0.0388,0.039,0.0436,4.79,-12.44
1,2000-01-31,17000,17700,16468,15000,42000,26509,15000,17000,16020,15500,-5.29,-28.02,-42.2,6.92,-3.25,4158,0.0372,0.033,0.0384,0.0401,4.78,-5.29
2,2000-02-29,18100,19450,17748,15500,42000,26198,15000,19450,18550,18100,11.73,-6.54,-41.34,13.13,19.66,17100,0.0408,0.053,0.0403,0.0421,5.07,11.73
3,2000-03-31,18750,25100,19993,18000,42000,26133,15000,18750,18450,18000,3.59,4.46,-25.39,0.54,9.09,14562,0.0482,0.067,0.0432,0.0527,5.05,3.59
4,2000-04-30,15300,18800,16785,14900,42000,25509,14900,16100,15480,14900,-18.18,-5.56,-26.39,-4.97,-20.84,5662,0.0484,0.0453,0.0436,0.0557,5.06,-18.18
5,2000-05-31,13000,15600,13790,11400,42000,24431,11400,13100,12400,11400,-15.03,-28.18,-41.19,4.84,-37.44,15986,0.0477,0.0441,0.0439,0.0531,5.12,-15.03
6,2000-06-30,14200,14200,12738,11500,42000,23011,11400,14200,13850,13400,8.4,-21.11,-20.89,18.33,-46.89,94786,0.0498,0.05,0.0443,0.0471,5.16,8.4
7,2000-07-31,12150,15500,13700,12100,40000,21005,11400,12450,12200,12100,-14.44,-20.59,-28.53,-2.02,-58.69,23448,0.0503,0.0377,0.044,0.0449,5.13,-14.44
8,2000-08-31,12250,13200,12388,11700,35600,18881,11400,12600,12420,12250,0.82,-5.77,-32.32,0.41,-60.08,9432,0.0458,0.0225,0.0432,0.0368,5.12,0.82
9,2000-09-30,13700,13750,12985,11800,29000,17385,11400,13700,13020,12600,8.73,2.24,-24.31,16.1,-47.74,23426,0.0416,0.0437,0.0446,0.0355,5.09,8.73
10,2000-10-31,13700,18100,15458,13600,29000,16513,11400,16300,14610,13600,0.0,12.76,-10.46,-21.71,-41.99,94432,0.0506,0.0782,0.0491,0.0559,5.37,0.0
11,2000-11-30,13050,14200,13520,13000,25100,15493,11400,13600,13340,13050,-4.04,4.4,-0.38,0.38,-40.97,42864,0.0471,0.0194,0.0476,0.0559,5.32,-4.04
12,2000-12-31,14750,15100,14008,13050,25100,15013,11400,14800,14550,14200,12.6,16.14,6.88,-0.34,-11.29,46602,0.0443,0.0226,0.047,0.0518,6.08,12.6
13,2001-01-31,19900,21500,18755,14750,25100,15172,11400,19900,18920,18400,34.92,45.26,63.79,6.99,17.06,38394,0.0481,0.0599,0.0493,0.0395,5.27,34.92
14,2001-02-28,27700,27700,23853,19700,27700,15680,11400,27700,26330,24950,45.03,103.68,126.12,10.8,42.42,59986,0.0482,0.0209,0.0475,0.0388,5.06,45.03
15,2001-03-31,33400,34000,30715,27300,34000,16603,11400,34000,33340,32900,20.58,126.44,143.8,3.73,85.56,51154,0.0463,0.0277,0.0442,0.0396,4.96,20.58
16,2001-04-30,29100,34000,32203,29100,34000,17888,11400,32000,30790,29100,-12.87,58.15,113.97,-9.06,90.2,19694,0.0328,0.0202,0.0426,0.025,5.01,-12.87
17,2001-05-31,27500,29500,27318,25000,34000,19097,11500,28000,27700,27500,-5.5,-0.72,110.73,-1.43,111.54,11300,0.0342,0.0327,0.0415,0.028,5.01,-5.5
18,2001-06-30,29800,30200,28915,27700,34000,20437,11700,29800,29610,29350,8.36,-10.24,102.03,-1.32,122.39,6086,0.0333,0.0193,0.0393,0.0248,4.99,8.36
19,2001-07-31,28300,29900,28930,27800,34000,21754,11700,28500,28420,28300,-5.03,-2.75,42.21,-0.35,132.92,9476,0.0234,0.0112,0.0378,0.0227,4.77,-5.03
20,2001-08-31,26000,28300,27345,26000,34000,23113,11800,27000,26650,26000,-8.13,-5.45,-6.14,-4.06,112.24,2940,0.0224,0.0143,0.0375,0.0157,4.54,-8.13
21,2001-09-30,24450,25950,24348,21300,34000,23911,13000,24450,23260,21300,-9.11,-17.68,-26.36,4.04,88.08,3646,0.0259,0.0439,0.0375,0.0271,4.0,-9.11
22,2001-10-31,22900,24000,23165,22600,34000,24618,13000,23750,23100,22600,-6.34,-19.08,-21.31,-4.58,67.15,2310,0.0253,0.0171,0.0294,0.0279,4.02,-6.34
23,2001-11-30,25000,25350,24568,23500,34000,25601,13200,25350,25110,24800,10.62,-5.48,-9.75,0.0,91.57,4256,0.0229,0.0147,0.029,0.0285,4.04,10.62
24,2001-12-31,25700,27200,25678,22300,34000,26402,15400,26500,25740,24900,3.63,5.11,-13.47,3.21,74.24,3234,0.0304,0.0537,0.032,0.033,4.01,3.63
25,2002-01-31,24900,26000,24393,22800,34000,26796,19700,26000,25290,24900,-3.11,8.73,-12.01,-2.35,25.13,2584,0.0318,0.0261,0.0278,0.0351,3.98,-3.11
26,2002-02-28,29200,29200,26033,24300,34000,26996,21300,29200,27900,27000,14.29,17.74,8.55,7.35,5.42,10381,0.0327,0.0229,0.0277,0.0365,4.01,14.29
27,2002-03-31,45200,45200,36655,30450,45200,27504,21300,45200,42730,41150,54.79,75.88,84.87,3.43,36.14,24500,0.0358,0.0538,0.0311,0.0378,4.0,54.79
28,2002-04-30,3040,44300,9525,2900,45200,25706,2900,3490,3154,2910,-32.74,22.09,34.51,4.83,4.47,256444,0.0457,0.0702,0.0366,0.0544,4.04,-32.74
29,2002-05-31,2760,3200,2996,2760,45200,23515,2760,2875,2817,2760,-9.21,-5.48,10.4,-5.15,0.36,35142,0.0459,0.016,0.0358,0.053,4.28,-9.21
30,2002-06-30,2830,3050,2744,2560,45200,21573,2560,3050,2815,2560,-0.7,-35.68,10.12,-3.41,-4.71,204184,0.0442,0.0445,0.0375,0.0488,4.26,-0.7
31,2002-07-31,2810,3330,2947,2620,45200,19299,2560,2810,2738,2700,-0.71,-7.57,12.85,7.25,-0.71,143008,0.0472,0.0486,0.0399,0.0388,4.27,-0.71
32,2002-08-31,2980,3040,2915,2760,45200,17185,2560,2980,2968,2950,7.97,6.43,2.05,-0.67,12.67,46784,0.0461,0.012,0.0398,0.0383,4.28,7.97
33,2002-09-30,2850,3050,2903,2790,45200,15384,2560,2970,2898,2850,-4.36,0.71,-36.95,-6.56,16.56,124580,0.0411,0.0224,0.0385,0.0311,4.28,-4.36
34,2002-10-31,3185,3285,3069,2800,45200,13643,2560,3220,3151,3100,11.75,13.35,4.77,4.08,39.08,203702,0.0325,0.0333,0.0392,0.0244,4.28,11.75
35,2002-11-30,3000,3290,3098,2950,45200,11813,2560,3005,2982,2950,-3.23,1.35,7.14,-0.83,19.52,113578,0.0322,0.0154,0.0392,0.025,4.28,-3.23
36,2002-12-31,2605,3040,2882,2605,45200,9980,2560,2900,2791,2605,-13.17,-8.6,-7.95,-8.6,1.36,95446,0.0275,0.0205,0.0368,0.0243,4.52,-13.17
37,2003-01-31,2450,2675,2564,2355,45200,8100,2355,2500,2421,2355,-5.95,-23.91,-11.23,-2.78,-1.61,105385,0.0214,0.0162,0.0364,0.0173,4.34,-5.95
38,2003-02-28,2525,2630,2513,2430,45200,6325,2355,2570,2519,2450,5.65,-15.41,-14.41,-0.79,-13.53,17472,0.0219,0.0183,0.036,0.0184,4.27,5.65
39,2003-03-31,2330,2450,2354,2300,44700,3532,2300,2345,2327,2315,-7.72,-10.56,-18.25,-2.31,-48.45,151096,0.0209,0.0186,0.0323,0.0174,4.27,-7.72
40,2003-04-30,2840,2860,2639,2430,3330,2802,2300,2860,2820,2750,21.11,15.92,-11.8,7.17,-6.58,133672,0.0182,0.0171,0.026,0.0185,4.26,21.11
