,Date,closingprice,closingpricemax20d,closingpriceavg20d,closingpricemin20d,closingpricemax52w,closingpriceavg52w,closingpricemin52w,closingpricemax5d,closingpriceavg5d,closingpricemin5d,MA3M,MA6M,MAweek,MAyear,tradingvolavg5d,vol120d,vol20d,vol52w,vol60d,riskfree,actualreturn
0,1999-12-31,18800,25500,21375,18800,50500,32007,16800,19300,19000,18800,-50.26,-55.66,-8.29,4.16,5418,0.0317,0.0394,0.0428,0.0348,4.79,-31.64
1,2000-01-31,20000,22700,20510,18000,50500,31848,16800,21300,20730,20000,-37.4,-58.33,-7.83,-5.21,1274,0.0323,0.0333,0.0381,0.0388,4.78,6.38
2,2000-02-29,17500,20700,17200,14700,50500,31528,14700,17500,16140,14850,-30.0,-58.68,19.05,1.16,6062,0.0369,0.0531,0.0397,0.0427,5.07,-13.79
3,2000-03-31,16300,22450,18303,16300,50500,31409,14700,20600,18200,16300,-13.3,-55.95,-9.19,-23.29,38364,0.0467,0.075,0.0437,0.0561,5.05,-6.86
4,2000-04-30,13500,17400,14858,13500,50500,30598,13500,14400,13810,13500,-33.5,-56.45,-4.59,-55.0,9190,0.0488,0.0411,0.0437,0.0574,5.06,-30.77
5,2000-05-31,17500,17500,14023,13200,50500,28679,13200,17500,15670,13800,0.0,-31.37,30.6,-50.0,35838,0.048,0.0328,0.0412,0.053,5.12,29.63
6,2000-06-30,17500,19200,17793,16500,50500,26858,13200,18500,18030,17500,0.57,-6.91,1.16,-59.86,11556,0.0472,0.0362,0.0411,0.0376,5.16,6.71
7,2000-07-31,17100,18950,17925,16850,50500,24297,13200,17100,16990,16850,26.67,-14.5,0.29,-64.38,3344,0.0463,0.0242,0.0398,0.0315,5.13,-2.29
8,2000-08-31,18700,19300,18765,17800,40000,21956,13200,19000,18810,18650,6.86,6.86,-1.58,-53.83,4232,0.0414,0.0134,0.0391,0.027,5.12,9.36
9,2000-09-30,19350,19550,18733,18000,37000,20472,13200,19500,19110,18800,7.5,12.5,6.32,-46.84,4578,0.0302,0.0187,0.0389,0.0206,5.09,3.48
10,2000-10-31,19300,23500,20853,19300,36200,19358,13200,20800,19870,19300,12.87,42.96,-7.66,-39.59,17658,0.0334,0.0563,0.0417,0.0351,5.37,-0.26
11,2000-11-30,20100,24700,21405,19850,25500,18484,13200,24700,22360,20100,7.77,22.56,-6.94,-21.18,79654,0.0365,0.0523,0.0425,0.045,5.32,2.03
12,2000-12-31,18700,24700,19083,17700,24700,18255,13200,20250,19180,18600,-1.06,3.31,-0.53,-1.58,14926,0.0362,0.0466,0.0418,0.0471,6.08,-16.14
13,2001-01-31,27850,35000,28198,18700,35000,18889,13200,27850,26830,25500,44.3,62.87,5.09,39.25,6576,0.0466,0.076,0.0465,0.0564,5.27,48.93
14,2001-02-28,28000,32950,28978,24500,35000,19870,13200,28750,28370,28000,13.36,47.37,-5.25,60.46,2602,0.0519,0.06,0.0471,0.0623,5.06,9.8
15,2001-03-31,25800,28200,26965,25800,35000,20634,13200,27000,26500,25800,37.97,33.33,-4.27,48.28,1226,0.0521,0.0206,0.0425,0.0568,4.96,-7.86
16,2001-04-30,26700,28300,26903,26000,35000,21621,13200,27000,26740,26300,-1.84,35.53,-1.48,97.78,482,0.0484,0.029,0.0414,0.0397,5.01,3.49
17,2001-05-31,27100,27850,26313,25600,35000,22669,16500,27850,26900,26100,-3.21,34.83,2.26,54.86,966,0.0445,0.0186,0.0405,0.0229,5.01,1.5
18,2001-06-30,26400,28400,26315,24800,35000,23371,16850,26700,25800,24800,-0.38,41.18,-3.12,46.67,754,0.0396,0.0282,0.04,0.0243,4.99,-5.21
19,2001-07-31,22200,26000,24290,22150,35000,23928,17700,23300,22780,22200,-16.85,-20.29,0.23,29.82,86,0.0329,0.0292,0.0403,0.0258,4.77,-15.91
20,2001-08-31,21750,25000,23620,21750,35000,24365,17700,23300,22770,21750,-19.74,-22.32,-8.61,16.31,180,0.0246,0.0218,0.0405,0.0266,4.54,-2.03
21,2001-09-30,20000,25350,20328,16400,35000,24428,16400,20700,20000,19400,-21.88,-25.93,0.0,5.26,344,0.0374,0.0746,0.045,0.0473,4.0,-14.16
22,2001-10-31,23650,25400,23763,21500,35000,24709,16400,24800,24230,23650,6.53,-11.42,-3.47,22.54,138,0.0376,0.0255,0.043,0.0466,4.02,18.25
23,2001-11-30,23450,24800,23673,20550,35000,24929,16400,24800,23770,23000,3.53,-12.99,-3.89,16.67,244,0.042,0.0505,0.0428,0.0533,4.04,-2.49
24,2001-12-31,22000,23450,22620,22000,35000,25187,16400,22900,22440,22000,10.0,-14.06,-3.93,17.65,402,0.0412,0.0189,0.0421,0.0328,4.01,-6.38
25,2002-01-31,22100,23000,22073,21350,32950,24643,16400,23000,22270,21900,-6.55,-0.45,-3.91,-20.65,1741,0.0399,0.0181,0.0362,0.0256,3.98,0.45
26,2002-02-28,22200,22450,22138,21750,28400,24118,16400,22250,22160,22000,-5.53,-4.72,1.14,-20.71,384,0.0392,0.011,0.0325,0.0163,4.01,0.0
