,Date,riskfree,kospi200,professionalism,pbr,activity,indireturn,indistd,actualreturn,indexreturn
0,1999-12-31,4.79,11.18,5.454618353090418,12.62279,-0.3849622200325681,-23.78,0.0565,-23.78,11.18
1,2000-01-31,4.78,-8.41,5.296613525298476,12.30388,-0.2792509405188937,-2.52,0.063,-2.52,-8.41
2,2000-02-29,5.07,-13.36,5.842643977335718,9.05172,-0.17283513750965251,-19.74,0.0509,-19.74,-13.36
3,2000-03-31,5.05,4.71,4.816930466630147,6.16375,-0.29629223844066305,-31.89,0.0515,-31.89,4.71
4,2000-04-30,5.06,-17.96,3.3931009750955563,2.94202,0.03218764635037545,-34.17,0.0701,-34.17,-17.96
5,2000-05-31,5.12,1.68,7.329914519666509,3.45634,-0.07476362865317389,17.47,0.0855,17.47,1.68
6,2000-06-30,5.16,12.61,7.963250674905102,3.73927,-0.04423071050906144,14.09,0.0753,14.09,12.61
7,2000-07-31,5.13,-14.44,23.2944255747457,4.61804,0.03145675419289853,23.51,0.0738,23.51,-14.44
8,2000-08-31,5.12,-3.14,6.114980944318236,4.08215,-0.09498972992432296,-11.61,0.038,-11.61,-3.14
9,2000-09-30,5.09,-17.36,3.8192753785024935,3.44075,-0.7119641008278514,-20.89,0.0539,-20.89,-17.36
10,2000-10-31,5.37,-16.2,3.563466078281735,2.5404,-0.09687695449096341,-26.19,0.0491,-26.19,-16.2
11,2000-11-30,5.32,-0.81,5.120405458089668,2.29463,-0.678024615536474,-12.5,0.0312,-12.5,-0.81
12,2000-12-31,6.08,-4.36,9.546806802904007,2.17475,-0.24268236289829434,-14.12,0.0263,-14.12,-4.36
13,2001-01-31,5.27,23.09,40.45633576091149,4.78229,-0.13063206866100388,119.86,0.0835,119.86,23.09
14,2001-02-28,5.06,-7.49,17.61626006490681,4.238,-0.005189295085799591,-1.9,0.0369,-1.9,-7.49
15,2001-03-31,4.96,-9.68,8.893265433590779,2.9648,-0.31318881176077734,-30.05,0.0455,-30.05,-9.68
16,2001-04-30,5.01,11.19,9.374028744000432,3.81906,-0.02408482053089862,20.6,0.0454,20.6,11.19
