,Date,riskfree,activity,MA1M,actualreturn
0,1999-12-31,4.79,-1.2039212733114513e-05,-20.37,-20.37
1,2000-01-31,4.78,-6.812189840871911e-06,-6.51,-6.51
2,2000-02-29,5.07,-3.1380232711856803e-06,-7.89,-7.89
3,2000-03-31,5.05,-4.164838851625946e-06,1.16,1.16
4,2000-04-30,5.06,9.039368583717361e-06,-13.36,-13.36
5,2000-05-31,5.12,-1.0468388300148085e-05,-18.97,-18.97
6,2000-06-30,5.16,5.283356428670794e-06,14.78,14.78
7,2000-07-31,5.13,-5.364940768512089e-06,-10.61,-10.61
8,2000-08-31,5.12,1.5872502643466131e-06,7.63,7.63
9,2000-09-30,5.09,9.190739001675756e-06,-13.91,-13.91
10,2000-10-31,5.37,9.038235785422322e-06,13.54,13.54
11,2000-11-30,5.32,2.0637096846322036e-06,10.84,10.84
12,2000-12-31,6.08,1.8527416869426352e-05,-17.61,-17.61
13,2001-01-31,5.27,-9.945854490519441e-06,10.68,10.68
14,2001-02-28,5.06,4.241760447959235e-06,18.11,18.11
15,2001-03-31,4.96,7.295603204488051e-06,-4.88,-4.88
16,2001-04-30,5.01,-2.3109244507098485e-06,-4.03,-4.03
17,2001-05-31,5.01,2.3512468581688903e-06,15.27,15.27
18,2001-06-30,4.99,9.195947995996428e-06,9.46,9.46
19,2001-07-31,4.77,5.785715769785132e-06,-10.49,-10.49
20,2001-08-31,4.54,-4.567553872720568e-06,-5.52,-5.52
21,2001-09-30,4.0,7.197534988348242e-06,-2.78,-2.78
22,2001-10-31,4.02,-2.8968471685934256e-05,7.14,7.14
23,2001-11-30,4.04,-1.2052008050414242e-05,22.56,22.56
24,2001-12-31,4.01,1.2334532925784594e-06,40.0,40.0
25,2002-01-31,3.98,8.366143224794696e-06,15.51,15.51
26,2002-02-28,4.01,1.2667720443981895e-05,25.98,25.98
27,2002-03-31,4.0,3.1433769739931426e-07,18.87,18.87
28,2002-04-30,4.04,1.2828186498775638e-05,15.65,15.65
29,2002-05-31,4.28,8.510191711658245e-06,-6.86,-6.86
30,2002-06-30,4.26,1.0229940111108903e-05,-9.0,-9.0
31,2002-07-31,4.27,-2.9746685410856856e-06,-9.03,-9.03
32,2002-08-31,4.28,-8.761478483798144e-06,-10.14,-10.14
33,2002-09-30,4.28,7.0765018940184655e-06,-1.28,-1.28
34,2002-10-31,4.28,3.943963264599011e-06,0.0,0.0
