,Date,riskfree,kospi200,professionalism,pbr,activity,indireturn,indistd,actualreturn
221,2018-05-31,1.51,2.84,12.13285294658907,4.73304,0.7764856512266495,34.72,0.0342,23.23
222,2018-06-30,1.55,-3.91,18.135130784702284,6.29656,0.12252379848831566,23.23,0.0339,47.9
223,2018-07-31,1.57,-5.23,11.297267425099143,5.65926,-0.5453123569618362,47.9,0.047,-10.12
224,2018-08-31,1.52,-0.74,8.988198192267966,6.33055,0.8476272128112697,-10.12,0.038,11.86
225,2018-09-30,1.55,0.88,5.842650034457004,5.71874,0.7032087564640594,11.86,0.0306,-4.27
226,2018-10-31,1.65,1.11,9.490096977369934,3.44144,-1.0833476909582853,-4.27,0.022,-39.82
227,2018-11-30,1.57,-12.15,10.129646715831981,4.35916,0.10652984529346683,-39.82,0.0442,30.2
228,2018-12-31,1.76,3.38,6.065358094610637,4.04475,0.18725183535035508,30.2,0.0331,-6.3
229,2019-01-31,1.89,-4.19,12.581614614740516,3.14815,-1.4523845846442875,-6.3,0.0222,-15.23
230,2019-02-28,1.81,9.13,14.88255449980633,3.63578,-0.8794879212343565,-15.23,0.027,8.25
231,2019-03-31,1.8,0.77,13.353712090855208,3.87374,0.6202349662833885,8.25,0.0317,6.55
232,2019-04-30,1.81,-2.58,10.580671635361917,3.58897,-0.2367325501843509,6.55,0.0302,-7.35
233,2019-05-31,1.79,3.05,13.153528461417668,3.37051,0.5939155759793986,-7.35,0.0172,-6.09
234,2019-06-30,1.79,-7.38,8.407796730814587,2.88678,-1.9441443728490837,-6.09,0.0252,-19.57
235,2019-07-31,1.83,4.84,4.8791559849283965,2.53958,0.32367603879846146,-19.57,0.0156,-12.03
236,2019-08-31,1.56,-4.02,11.613096996621545,2.52008,0.24596121142585475,-12.03,0.0224,0.62
237,2019-09-30,1.54,-3.7,3.8019321099795307,2.34063,-0.503316143435277,0.62,0.0393,-7.12
238,2019-10-31,1.58,5.62,3.1071114196437035,2.19629,-0.9587442284184567,-7.12,0.0227,-6.17
239,2019-11-30,1.29,0.83,12.473178186033948,2.16508,-1.4606296807139643,-6.17,0.0143,-0.36
240,2019-12-31,1.28,-0.28,4.3765741660264785,2.2158,0.23148670120488885,-0.36,0.0218,2.34
241,2020-01-31,1.39,6.14,12.629183420788006,2.36036,0.6448284881034677,2.34,0.0185,6.69
242,2020-02-29,1.25,-3.15,4.636105845532687,2.0254,0.14769365207112997,6.69,0.037,-11.26
243,2020-03-31,1.26,-8.45,5.850133078295607,1.81896,0.18445562231159163,-11.26,0.0219,-10.19
244,2020-04-30,0.8,-11.64,5.514438837629394,2.22793,0.2945095390525073,-10.19,0.0421,33.33
245,2020-05-31,0.76,10.42,4.929684312223976,1.9475,-1.649624435666893,33.33,0.0278,-12.59
