,Date,riskfree,MA1M,actualreturn
0,1999-12-31,4.79,-59.52,-59.52
1,2000-01-31,4.78,98.04,98.04
2,2000-02-29,5.07,40.69,40.69
3,2000-03-31,5.05,26.23,26.23
4,2000-04-30,5.06,36.7,36.7
5,2000-05-31,5.12,-16.11,-16.11
6,2000-06-30,5.16,31.33,31.33
7,2000-07-31,5.13,-6.54,-6.54
8,2000-08-31,5.12,-7.69,-7.69
9,2000-09-30,5.09,-45.82,-45.82
10,2000-10-31,5.37,-15.44,-15.44
11,2000-11-30,5.32,24.89,24.89
12,2000-12-31,6.08,-22.91,-22.91
13,2001-01-31,5.27,28.08,28.08
14,2001-02-28,5.06,19.64,19.64
15,2001-03-31,4.96,-9.9,-9.9
16,2001-04-30,5.01,-1.81,-1.81
17,2001-05-31,5.01,6.05,6.05
18,2001-06-30,4.99,101.23,101.23
19,2001-07-31,4.77,-17.68,-17.68
20,2001-08-31,4.54,5.93,5.93
21,2001-09-30,4.0,-33.53,-33.53
22,2001-10-31,4.02,30.26,30.26
23,2001-11-30,4.04,4.17,4.17
24,2001-12-31,4.01,21.0,21.0
25,2002-01-31,3.98,14.33,14.33
26,2002-02-28,4.01,53.9,53.9
27,2002-03-31,4.0,-7.77,-7.77
28,2002-04-30,4.04,-6.03,-6.03
29,2002-05-31,4.28,-16.34,-16.34
30,2002-06-30,4.26,21.01,21.01
31,2002-07-31,4.27,-12.52,-12.52
32,2002-08-31,4.28,18.02,18.02
33,2002-09-30,4.28,2.92,2.92
34,2002-10-31,4.28,-2.33,-2.33
35,2002-11-30,4.28,-12.98,-12.98
36,2002-12-31,4.52,-13.31,-13.31
37,2003-01-31,4.34,30.93,30.93
38,2003-02-28,4.27,-20.03,-20.03
39,2003-03-31,4.27,-11.76,-11.76
40,2003-04-30,4.26,15.14,15.14
41,2003-05-31,4.01,6.57,6.57
42,2003-06-30,4.1,14.54,14.54
43,2003-07-31,3.75,19.04,19.04
44,2003-08-31,3.72,-5.68,-5.68
45,2003-09-30,3.77,-5.34,-5.34
46,2003-10-31,3.84,1.82,1.82
47,2003-11-30,3.78,-1.78,-1.78
48,2003-12-31,3.97,1.45,1.45
49,2004-01-31,3.78,-2.14,-2.14
50,2004-02-29,3.78,1.81,1.81
51,2004-03-31,3.74,-3.2,-3.2
52,2004-04-30,3.76,-5.45,-5.45
53,2004-05-31,3.77,0.38,0.38
54,2004-06-30,3.78,-2.72,-2.72
55,2004-07-31,3.77,1.4,1.4
56,2004-08-31,3.52,2.76,2.76
57,2004-09-30,3.55,0.19,0.19
58,2004-10-31,3.53,-2.69,-2.69
59,2004-11-30,3.26,-2.37,-2.37
60,2004-12-31,3.29,0.4,0.4
61,2005-01-31,3.26,8.06,8.06
62,2005-02-28,3.28,58.51,58.51
63,2005-03-31,3.26,-9.53,-9.53
64,2005-04-30,3.29,-10.4,-10.4
65,2005-05-31,3.29,-4.02,-4.02
66,2005-06-30,3.3,29.03,29.03
67,2005-07-31,3.27,2.6,2.6
68,2005-08-31,3.25,-1.27,-1.27
69,2005-09-30,3.28,32.77,32.77
70,2005-10-31,3.51,-12.07,-12.07
71,2005-11-30,3.5,1.45,1.45
72,2005-12-31,3.76,-7.97,-7.97
73,2006-01-31,3.76,-6.3,-6.3
74,2006-02-28,3.99,11.07,11.07
75,2006-03-31,3.97,9.43,9.43
76,2006-04-30,3.97,-6.89,-6.89
77,2006-05-31,3.96,-11.31,-11.31
78,2006-06-30,4.21,2.26,2.26
79,2006-07-31,4.22,5.36,5.36
80,2006-08-31,4.49,-0.55,-0.55
81,2006-09-30,4.48,8.47,8.47
82,2006-10-31,4.48,-3.13,-3.13
83,2006-11-30,4.49,9.29,9.29
84,2006-12-31,4.6,4.51,4.51
85,2007-01-31,4.61,-0.2,-0.2
86,2007-02-28,4.55,-0.2,-0.2
87,2007-03-31,4.63,-4.53,-4.53
88,2007-04-30,4.88,0.31,0.31
89,2007-05-31,4.56,18.19,18.19
90,2007-06-30,4.52,-20.45,-20.45
91,2007-07-31,4.76,41.9,41.9
92,2007-08-31,4.98,-10.13,-10.13
93,2007-09-30,4.98,-10.02,-10.02
94,2007-10-31,5.02,6.82,6.82
95,2007-11-30,5.02,-11.26,-11.26
96,2007-12-31,5.02,2.82,2.82
97,2008-01-31,4.96,-3.04,-3.04
98,2008-02-29,4.94,3.82,3.82
99,2008-03-31,4.98,-5.61,-5.61
100,2008-04-30,4.95,-2.17,-2.17
101,2008-05-31,5.04,11.09,11.09
102,2008-06-30,5.01,-3.99,-3.99
103,2008-07-31,5.03,7.92,7.92
104,2008-08-31,5.25,16.92,16.92
105,2008-09-30,5.22,-0.49,-0.49
106,2008-10-31,4.14,-12.75,-12.75
107,2008-11-30,3.99,19.91,19.91
108,2008-12-31,3.02,-7.5,-7.5
109,2009-01-31,2.41,-8.88,-8.88
110,2009-02-28,1.87,-11.94,-11.94
111,2009-03-31,1.73,-1.59,-1.59
112,2009-04-30,1.85,13.91,13.91
113,2009-05-31,1.96,8.05,8.05
114,2009-06-30,1.96,-8.62,-8.62
115,2009-07-31,1.95,8.96,8.96
116,2009-08-31,1.99,1.39,1.39
117,2009-09-30,2.0,3.17,3.17
118,2009-10-31,2.01,-1.33,-1.33
119,2009-11-30,2.01,-11.02,-11.02
120,2009-12-31,2.01,8.18,8.18
121,2010-01-31,2.0,-8.21,-8.21
122,2010-02-28,2.01,0.24,0.24
123,2010-03-31,2.0,4.0,4.0
124,2010-04-30,2.0,7.67,7.67
125,2010-05-31,2.0,-7.76,-7.76
126,2010-06-30,2.03,7.95,7.95
127,2010-07-31,2.28,5.47,5.47
128,2010-08-31,2.28,3.39,3.39
129,2010-09-30,2.27,0.38,0.38
130,2010-10-31,2.26,24.86,24.86
131,2010-11-30,2.51,-7.2,-7.2
132,2010-12-31,2.51,18.81,18.81
133,2011-01-31,2.75,11.94,11.94
134,2011-02-28,2.76,-5.39,-5.39
135,2011-03-31,2.99,14.77,14.77
136,2011-04-30,3.02,25.99,25.99
137,2011-05-31,3.03,4.5,4.5
138,2011-06-30,3.28,10.5,10.5
139,2011-07-31,3.27,9.35,9.35
140,2011-08-31,3.27,-2.97,-2.97
141,2011-09-30,3.28,-18.9,-18.9
142,2011-10-31,3.26,8.74,8.74
143,2011-11-30,3.27,4.15,4.15
144,2011-12-31,3.29,0.92,0.92
145,2012-01-31,3.27,7.21,7.21
146,2012-02-29,3.26,0.85,0.85
147,2012-03-31,3.24,-3.39,-3.39
148,2012-04-30,3.26,3.07,3.07
149,2012-05-31,3.27,-5.53,-5.53
150,2012-06-30,3.26,2.29,2.29
151,2012-07-31,3.02,3.59,3.59
152,2012-08-31,3.01,12.99,12.99
153,2012-09-30,3.01,-2.67,-2.67
154,2012-10-31,2.75,5.49,5.49
155,2012-11-30,2.77,-5.8,-5.8
156,2012-12-31,2.77,7.85,7.85
157,2013-01-31,2.76,1.1,1.1
158,2013-02-28,2.76,3.97,3.97
159,2013-03-31,2.75,7.64,7.64
160,2013-04-30,2.78,30.32,30.32
161,2013-05-31,2.5,-10.15,-10.15
162,2013-06-30,2.5,-1.34,-1.34
163,2013-07-31,2.53,3.26,3.26
164,2013-08-31,2.51,-5.97,-5.97
165,2013-09-30,2.5,8.56,8.56
166,2013-10-31,2.52,-2.29,-2.29
167,2013-11-30,2.5,-6.22,-6.22
168,2013-12-31,2.52,8.02,8.02
169,2014-01-31,2.51,-1.85,-1.85
170,2014-02-28,2.49,6.81,6.81
171,2014-03-31,2.49,19.39,19.39
172,2014-04-30,2.5,24.44,24.44
173,2014-05-31,2.49,-10.23,-10.23
174,2014-06-30,2.49,21.88,21.88
175,2014-07-31,2.49,5.73,5.73
176,2014-08-31,2.24,-2.2,-2.2
177,2014-09-30,2.24,0.3,0.3
178,2014-10-31,1.97,1.05,1.05
179,2014-11-30,1.99,-4.43,-4.43
180,2014-12-31,2.03,14.86,14.86
181,2015-01-31,2.0,-1.33,-1.33
182,2015-02-28,1.99,21.26,21.26
183,2015-03-31,1.74,2.15,2.15
184,2015-04-30,1.74,-20.44,-20.44
185,2015-05-31,1.74,23.12,23.12
186,2015-06-30,1.5,35.41,35.41
187,2015-07-31,1.5,-15.06,-15.06
188,2015-08-31,1.52,-5.22,-5.22
189,2015-09-30,1.49,-7.56,-7.56
190,2015-10-31,1.5,2.02,2.02
191,2015-11-30,1.5,-8.44,-8.44
192,2015-12-31,1.52,-11.87,-11.87
193,2016-01-31,1.5,-20.91,-20.91
194,2016-02-29,1.52,13.14,13.14
195,2016-03-31,1.53,4.64,4.64
196,2016-04-30,1.5,-9.96,-9.96
197,2016-05-31,1.48,-7.17,-7.17
198,2016-06-30,1.23,-19.17,-19.17
199,2016-07-31,1.24,-1.25,-1.25
200,2016-08-31,1.25,-2.32,-2.32
201,2016-09-30,1.26,1.06,1.06
202,2016-10-31,1.24,-4.81,-4.81
203,2016-11-30,1.23,-5.79,-5.79
204,2016-12-31,1.27,3.86,3.86
205,2017-01-31,1.25,0.22,0.22
206,2017-02-28,1.26,4.0,4.0
207,2017-03-31,1.27,-1.07,-1.07
208,2017-04-30,1.21,0.0,0.0
209,2017-05-31,1.26,10.22,10.22
210,2017-06-30,1.29,-4.81,-4.81
211,2017-07-31,1.24,-4.42,-4.42
212,2017-08-31,1.27,-11.89,-11.89
213,2017-09-30,1.27,-9.48,-9.48
214,2017-10-31,1.26,0.0,0.0
215,2017-11-30,1.53,9.62,9.62
216,2017-12-31,1.58,1.55,1.55
217,2018-01-31,1.54,1.02,1.02
218,2018-02-28,1.51,-11.37,-11.37
219,2018-03-31,1.54,-6.95,-6.95
220,2018-04-30,1.51,-2.59,-2.59
221,2018-05-31,1.55,-2.36,-2.36
222,2018-06-30,1.57,-5.9,-5.9
223,2018-07-31,1.52,0.0,0.0
224,2018-08-31,1.55,-4.29,-4.29
225,2018-09-30,1.65,6.23,6.23
226,2018-10-31,1.57,-24.1,-24.1
227,2018-11-30,1.76,-3.17,-3.17
228,2018-12-31,1.89,15.25,15.25
229,2019-01-31,1.81,1.1,1.1
230,2019-02-28,1.8,5.54,5.54
231,2019-03-31,1.81,-10.84,-10.84
232,2019-04-30,1.79,6.67,6.67
233,2019-05-31,1.79,-22.06,-22.06
234,2019-06-30,1.83,4.72,4.72
235,2019-07-31,1.56,-5.41,-5.41
236,2019-08-31,1.54,-15.36,-15.36
237,2019-09-30,1.58,6.16,6.16
238,2019-10-31,1.29,-2.9,-2.9
239,2019-11-30,1.28,-2.82,-2.82
240,2019-12-31,1.39,-5.25,-5.25
241,2020-01-31,1.25,-3.06,-3.06
242,2020-02-29,1.26,-24.04,-24.04
243,2020-03-31,0.8,-21.43,-21.43
244,2020-04-30,0.76,37.14,37.14
245,2020-05-31,0.49,-3.77,-3.77
246,2020-06-30,0.57,-13.7,-13.7
247,2020-07-31,0.51,2.08,2.08
248,2020-08-31,0.55,12.41,12.41
249,2020-09-30,0.55,17.06,17.06
250,2020-10-31,0.52,-1.55,-1.55
251,2020-11-30,0.6,7.09,7.09
252,2020-12-31,0.61,5.59,5.59
253,2021-01-31,0.52,-1.84,-1.84
254,2021-02-28,0.59,-8.34,-8.34
255,2021-03-31,0.59,1.03,1.03
256,2021-04-30,0.49,17.97,17.97
257,2021-05-31,0.51,11.92,11.92
258,2021-06-30,0.63,0.33,0.33
259,2021-07-31,0.58,-10.71,-10.71
260,2021-08-31,0.9,-8.2,-8.2
261,2021-09-30,0.92,46.98,46.98
262,2021-10-31,0.76,-16.21,-16.21
263,2021-11-30,1.067,-20.27,-20.27
264,2021-12-31,1.437,7.74,7.74
265,2022-01-31,1.277,-6.57,-6.57
266,2022-02-28,1.39,34.27,34.27
267,2022-03-31,1.454,-3.33,-3.33
268,2022-04-30,1.53,-3.46,-3.46
269,2022-05-31,1.863,-11.92,-11.92
270,2022-06-30,2.337,-19.93,-19.93
271,2022-07-31,2.341,2.64,2.64
