,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn,mktcap
73,2006-01-31,3.76,1.81,26715.700390397495,1.67796,-7.423792192264273e-07,22.44,219776.0
74,2006-02-28,3.99,-1.77,17168.11146687727,1.65078,-4.921393203628453e-07,0.0,210188.0
75,2006-03-31,3.97,-0.7,6726.9256221994,1.52866,2.4167414071279016e-06,-7.4,195717.0
76,2006-04-30,3.97,6.56,8330.603862525779,1.59655,-2.6759549526892065e-06,21.72,196866.0
77,2006-05-31,3.96,-7.11,8829.770945852375,1.40209,1.1792869449483342e-06,-12.18,202188.0
78,2006-06-30,4.21,-2.08,3804.5452110997826,1.24373,-1.0461176041136283e-06,-11.29,162814.0
79,2006-07-31,4.22,0.63,5252.73207104444,1.13514,-7.67243404813514e-06,-8.73,147457.0
80,2006-08-31,4.49,4.11,1886.6103362869367,1.20749,2.545552144245147e-06,6.37,151002.0
81,2006-09-30,4.48,1.87,1702.5760629722126,1.3296,2.0470033952680994e-05,13.08,158165.0
82,2006-10-31,4.48,-0.68,1421.5708334587484,1.38843,6.573368723092313e-06,4.42,166115.0
83,2006-11-30,4.49,4.59,3035.936466019003,1.48349,-1.3799828608023343e-05,9.33,187443.0
84,2006-12-31,4.6,1.63,8098.906625734171,1.53772,3.1159042522415315e-05,5.92,195118.0
85,2007-01-31,4.61,-5.07,1872.5168338601072,1.14778,-1.1180776035877315e-05,-18.24,211033.0
86,2007-02-28,4.55,4.1,3719.907613404212,1.07346,-1.337727831913248e-05,-2.26,186986.0
87,2007-03-31,4.63,2.4,3228.394289335831,1.11062,-1.635034432641989e-05,3.46,178298.0
88,2007-04-30,4.88,5.84,4003.282922817317,1.32532,2.4730407663974994e-05,19.33,211563.0
89,2007-05-31,4.56,9.02,6730.961080068802,1.32124,-9.028966172032642e-07,-0.31,196506.0
90,2007-06-30,4.52,4.36,7001.46619036599,1.10655,-7.226420669103254e-06,-4.96,203093.0
91,2007-07-31,4.76,10.4,6711.552302148275,1.13334,-1.3028167939202393e-05,2.42,201464.0
92,2007-08-31,4.98,-2.47,2680.9414451159605,1.00371,1.5443113251756864e-05,-11.44,167945.0
93,2007-09-30,4.98,6.38,1419.4338159224508,0.96791,2.5607451029244196e-05,-1.26,167223.0
94,2007-10-31,5.02,5.35,4854.17796410772,0.77161,-1.6691607346192144e-05,-20.28,140253.0
95,2007-11-30,5.02,-7.11,2875.729366543428,0.76544,8.352034316816738e-06,0.16,129559.0
96,2007-12-31,5.02,3.61,3896.1469095110265,0.90124,3.871068271917708e-06,19.67,147145.0
97,2008-01-31,4.96,-13.88,1721.4540434548846,1.0779,1.1897874194256275e-05,9.59,158095.0
98,2008-02-29,4.94,4.37,1182.1767182558417,0.9216,1.2599061576741023e-05,-5.39,154619.0
99,2008-03-31,4.98,0.37,1373.8237092706763,1.00514,1.7132128066692276e-05,9.06,139979.0
100,2008-04-30,4.95,7.97,2716.861288025368,0.94316,-1.281218145181624e-05,0.43,148848.0
101,2008-05-31,5.04,1.05,3730.269924149148,0.7963,-1.2818964555094924e-05,-15.57,131574.0
