,Date,riskfree,kospi200,professionalism,pbr,activity,MA1M,indireturn,indistd,actualreturn,indexreturn
124,2010-04-30,2.0,2.87,6301.809448541935,1.21056,1.2756418330013961e-05,2.45,2.45,0.0221,2.45,2.87
125,2010-05-31,2.0,-5.97,5548.814287460235,1.00111,-2.075150838468141e-05,-17.3,-17.3,0.0374,-17.3,-5.97
126,2010-06-30,2.03,3.04,3812.474493024756,1.1302,1.1185029754667628e-05,16.26,16.26,0.0211,16.26,3.04
127,2010-07-31,2.28,3.8,3754.387652562525,1.14733,-1.9500310100035787e-06,1.52,1.52,0.0135,1.52,3.8
128,2010-08-31,2.28,-1.06,1582.3878358951374,1.05512,-4.183006933805789e-07,-8.04,-8.04,0.0115,-8.04,-1.06
129,2010-09-30,2.27,7.12,2510.814035370604,1.00506,-3.0108123061480325e-05,-6.95,-6.95,0.0161,-6.95,7.12
130,2010-10-31,2.26,0.29,2895.662800246735,1.02614,-1.4313362944580793e-06,1.17,1.17,0.0115,1.17,0.29
131,2010-11-30,2.51,2.74,2834.0846681303224,0.9695,3.7738601293363713e-06,-5.52,-5.52,0.0226,-5.52,2.74
132,2010-12-31,2.51,8.63,1638.0562419925702,1.04722,7.834013106492115e-06,8.02,8.02,0.0142,8.02,8.63
133,2011-01-31,2.75,0.71,2345.6111330246085,1.02746,1.2877500047265712e-05,-1.89,-1.89,0.0141,-1.89,0.71
134,2011-02-28,2.76,-6.14,1142.4121212624314,0.9998,3.163948408093616e-06,-1.94,-1.94,0.018,-1.94,-6.14
135,2011-03-31,2.99,8.78,1492.6629576319147,0.99848,-7.2503368850043975e-06,-0.13,-0.13,0.0206,-0.13,8.78
136,2011-04-30,3.02,5.9,968.0070076732454,0.95678,-1.4182168606010251e-06,-1.07,-1.07,0.0117,-1.07,5.9
137,2011-05-31,3.03,-2.63,852.4442156949461,0.94383,5.293814433600674e-06,-1.35,-1.35,0.0123,-1.35,-2.63
138,2011-06-30,3.28,-2.68,1998.9319131586994,1.00209,2.345890118636523e-05,9.63,9.63,0.0146,9.63,-2.68
139,2011-07-31,3.27,0.91,781.3917577956862,0.96843,1.7304417512416396e-05,-3.36,-3.36,0.0113,-3.36,0.91
140,2011-08-31,3.27,-12.61,1762.3718879405806,0.81307,-8.650185364872615e-06,-16.04,-16.04,0.0312,-16.04,-12.61
141,2011-09-30,3.28,-4.85,1306.677891401185,0.72373,-6.126444802400854e-06,-10.56,-10.56,0.024,-10.56,-4.85
142,2011-10-31,3.26,8.45,1346.1960654677716,0.81177,6.097874417216915e-06,12.16,12.16,0.0142,12.16,8.45
143,2011-11-30,3.27,-3.48,1783.669594543795,0.94124,2.0069699763757194e-05,18.79,18.79,0.0166,18.79,-3.48
144,2011-12-31,3.29,-1.82,1173.1935707357839,0.95807,2.59335799029088e-05,2.49,2.49,0.0143,2.49,-1.82
145,2012-01-31,3.27,7.9,977.935546406762,0.99562,3.591904686761372e-05,3.92,3.92,0.0196,3.92,7.9
146,2012-02-29,3.26,3.98,527.2973007001058,0.94513,1.2728357476272986e-05,-6.77,-6.77,0.0113,-6.77,3.98
147,2012-03-31,3.24,-0.21,698.5844645711209,0.96972,1.1713032015825042e-05,2.6,2.6,0.0198,2.6,-0.21
148,2012-04-30,3.26,-0.84,614.3487751798839,0.81943,-2.165421130815168e-06,-8.81,-8.81,0.0218,-8.81,-0.84
149,2012-05-31,3.27,-7.68,525.4564998094833,0.73065,-7.43973896401047e-06,-10.83,-10.83,0.0164,-10.83,-7.68
150,2012-06-30,3.26,-0.15,521.7776164344574,0.77144,7.679397954061076e-06,3.88,3.88,0.0222,3.88,-0.15
151,2012-07-31,3.02,2.12,377.7191306688839,0.78224,4.311364720156359e-06,1.4,1.4,0.0222,1.4,2.12
152,2012-08-31,3.01,0.19,604.965117838813,0.85182,4.310583831981188e-05,8.9,8.9,0.0232,8.9,0.19
153,2012-09-30,3.01,3.93,551.1785617313361,0.92621,2.424055684577604e-05,1.58,1.58,0.0244,1.58,3.93
154,2012-10-31,2.75,-4.69,417.977650135424,0.92261,2.126222154670483e-05,-0.39,-0.39,0.0149,-0.39,-4.69
155,2012-11-30,2.77,1.63,381.3291050988282,0.90221,8.142225392063447e-06,-0.27,-0.27,0.0132,-0.27,1.63
156,2012-12-31,2.77,4.85,721.9910265153537,0.931,2.9957176228209435e-05,4.16,4.16,0.0196,4.16,4.85
157,2013-01-31,2.76,-2.22,479.5358221703315,0.89021,-2.6554559184009023e-07,-4.38,-4.38,0.0124,-4.38,-2.22
158,2013-02-28,2.76,3.85,1952.8683436034355,0.86862,4.344163417418639e-05,-4.61,-4.61,0.0275,-4.61,3.85
159,2013-03-31,2.75,-1.72,885.8096761950679,0.81943,-2.33885525001447e-05,-5.66,-5.66,0.0112,-5.66,-1.72
160,2013-04-30,2.78,-2.91,624.2669935743932,0.81079,5.464495982000474e-06,-1.9,-1.9,0.0174,-1.9,-2.91
161,2013-05-31,2.5,2.25,712.6394948825845,0.84589,1.9676973777185046e-05,4.33,4.33,0.0163,4.33,2.25
162,2013-06-30,2.5,-6.31,629.4804519722736,0.79627,-9.778214138927654e-06,-7.58,-7.58,0.0146,-7.58,-6.31
163,2013-07-31,2.53,2.36,356.42847891754667,0.81563,1.5717846455268106e-05,2.43,2.43,0.0189,2.43,2.36
164,2013-08-31,2.51,1.19,448.1825246229263,0.78659,-1.9088278465724984e-05,-6.34,-6.34,0.013,-6.34,1.19
165,2013-09-30,2.5,3.64,587.8486099236028,0.84105,3.8938971660937635e-05,6.92,6.92,0.0152,6.92,3.64
166,2013-10-31,2.52,2.3,385.84217014238743,0.8592,9.376543633834079e-06,2.16,2.16,0.018,2.16,2.3
167,2013-11-30,2.5,-0.26,522.301156788602,0.87735,5.942824992378245e-06,2.26,2.26,0.0145,2.26,-0.26
168,2013-12-31,2.52,-1.98,1312.1271137277326,0.9185,7.950677166003355e-06,4.69,4.69,0.0138,4.69,-1.98
169,2014-01-31,2.51,-3.96,483.94554729703356,0.70735,-1.944214162336839e-06,-1.74,-1.74,0.0222,-1.74,-3.96
170,2014-02-28,2.49,2.18,361.7997410578592,0.66097,-1.634572681921329e-05,-1.58,-1.58,0.0144,-1.58,2.18
171,2014-03-31,2.49,-0.12,423.32659995583384,0.6745,2.4776474721145484e-07,2.05,2.05,0.0091,2.05,-0.12
172,2014-04-30,2.5,-1.08,341.7688201011976,0.64937,1.783044961384021e-06,-2.75,-2.75,0.0077,-2.75,-1.08
173,2014-05-31,2.49,1.81,540.6025280789544,0.62618,-4.863691992830258e-07,-3.57,-3.57,0.0081,-3.57,1.81
174,2014-06-30,2.49,0.24,573.3364208541273,0.62425,-7.286000654907224e-06,-0.31,-0.31,0.0092,-0.31,0.24
175,2014-07-31,2.49,3.5,430.1039702276317,0.6629,1.3932127584309679e-05,6.19,6.19,0.0065,6.19,3.5
176,2014-08-31,2.24,-0.97,480.7729673366692,0.67256,1.5508350683230614e-05,3.11,3.11,0.0071,3.11,-0.97
177,2014-09-30,2.24,-3.26,470.5954528005525,0.68609,8.001945239827428e-06,2.01,2.01,0.0097,2.01,-3.26
178,2014-10-31,1.97,-2.46,977.8227662426777,0.79335,3.0935434079767845e-05,15.63,15.63,0.0254,15.63,-2.46
179,2014-11-30,1.99,4.27,1182.6398392238414,0.81365,4.1114686887562616e-05,4.6,4.6,0.0093,4.6,4.27
180,2014-12-31,2.03,-3.8,1074.4125423305352,0.80109,2.1367211465159027e-05,-1.54,-1.54,0.0187,-1.54,-3.8
181,2015-01-31,2.0,2.39,1138.9840841469234,0.70634,1.1991671018940517e-05,-6.15,-6.15,0.0172,-6.15,2.39
182,2015-02-28,1.99,-0.29,586.063782301635,0.70907,1.5044900676895059e-05,-0.13,-0.13,0.0174,-0.13,-0.29
183,2015-03-31,1.74,2.31,1706.3033708521646,0.66912,-2.05291521937487e-06,-5.63,-5.63,0.0185,-5.63,2.31
184,2015-04-30,1.74,3.55,1038.9655951074851,0.71996,2.378584924073376e-06,7.45,7.45,0.0121,7.45,3.55
