,Date,riskfree,kospi200,professionalism,pbr,activity,actualreturn
223,2018-07-31,1.52,-0.74,7142.286493845391,1.2696,4.0262792431296546e-06,6.68
224,2018-08-31,1.55,0.88,4865.402610362035,1.23427,1.7304786435305233e-06,-2.78
225,2018-09-30,1.65,1.11,9189.315597087198,1.12386,-1.0211839119759699e-05,-11.32
226,2018-10-31,1.57,-12.15,6308.620468560473,0.97153,5.0303307104049476e-06,-13.56
227,2018-11-30,1.76,3.38,3853.8343153933256,0.92735,-5.208171273559809e-07,-2.78
228,2018-12-31,1.89,-4.19,4786.18808965042,1.06426,1.1096076325361936e-05,16.99
229,2019-01-31,1.81,9.13,3935.1307575847695,0.89874,3.108029725308137e-06,2.18
230,2019-02-28,1.8,0.77,3656.3029174618396,0.87867,1.1135004026757364e-05,7.6
231,2019-03-31,1.81,-2.58,3382.1658661931033,0.92521,3.859147762192654e-06,5.3
232,2019-04-30,1.79,3.05,2480.455137897505,0.85038,-1.624257091756362e-05,-8.09
233,2019-05-31,1.79,-7.38,2540.4258808291656,0.78195,-3.6768653011861267e-06,-8.05
234,2019-06-30,1.83,4.84,2433.8652223371723,0.79382,1.0036958004943309e-05,5.33
235,2019-07-31,1.56,-4.02,3155.2883013104197,0.67976,-8.320519351138906e-06,-14.37
236,2019-08-31,1.54,-3.7,2809.4790458007833,0.65422,3.5601679197951734e-06,-2.05
237,2019-09-30,1.58,5.62,6869.973171478752,0.59946,-1.494371739162127e-05,-8.37
238,2019-10-31,1.29,0.83,3662.5285299123375,0.5648,-2.409307553424107e-06,-5.78
239,2019-11-30,1.28,-0.28,9733.46505704624,0.50458,-1.7007918242882503e-05,-10.37
240,2019-12-31,1.39,6.14,5970.007650354629,0.46809,-8.984202714450217e-06,-7.23
241,2020-01-31,1.25,-3.15,9071.55072824788,0.50204,-9.31731921337096e-06,-12.12
242,2020-02-29,1.26,-8.45,9632.622509014569,0.43358,-9.207746132658915e-06,-14.05
243,2020-03-31,0.8,-11.64,12525.116803963316,0.37352,-1.452282934501866e-05,-13.85
244,2020-04-30,0.76,10.42,17637.30793622897,0.45279,-1.0822560196948955e-06,20.83
245,2020-05-31,0.49,3.94,27512.114963008466,0.47922,-6.942601406544124e-06,5.84
246,2020-06-30,0.57,4.39,22786.522453050926,0.50684,-4.614909736865685e-06,5.76
247,2020-07-31,0.51,6.87,13286.632587164811,0.52125,-3.319542812228131e-07,2.84
248,2020-08-31,0.55,2.61,18261.955088864426,0.55248,-2.3673691817611767e-06,5.99
249,2020-09-30,0.55,-0.9,21686.841875755872,0.51044,-4.731598364341896e-06,-2.75
250,2020-10-31,0.52,-2.53,5135.10144698412,0.47561,-1.0332326122692038e-05,-6.82
251,2020-11-30,0.6,14.74,9945.096272972058,0.48162,1.5609625694308632e-06,1.26
252,2020-12-31,0.61,12.5,26608.60564194576,0.62695,9.939576475069374e-06,30.17
253,2021-01-31,0.52,6.11,25344.103445477947,0.62629,4.4793126111666374e-07,9.62
254,2021-02-28,0.59,-3.94,12388.76686603951,0.6137,-5.46742003182104e-06,-9.92
255,2021-03-31,0.59,1.25,8501.458418464277,0.67209,7.345130885956463e-06,9.51
256,2021-04-30,0.49,1.38,8971.741885487718,0.64118,-9.090468672521832e-06,-3.78
257,2021-05-31,0.51,1.31,9385.134827254846,0.67782,6.197806381659694e-06,5.71
258,2021-06-30,0.63,3.03,14435.03009917397,0.72132,9.76014438184745e-07,7.69
259,2021-07-31,0.58,-3.4,7876.877053344866,0.71102,-7.583337643841501e-07,-1.43
260,2021-08-31,0.9,-0.97,4931.475860221116,0.68469,1.0964544480890468e-06,-3.7
261,2021-09-30,0.92,-2.48,4329.622048180932,0.62973,-9.249495530524558e-06,-7.09
262,2021-10-31,0.76,-2.9,4241.138079061436,0.58507,-8.921150785819001e-06,-5.55
263,2021-11-30,1.067,-3.92,4757.421955805249,0.4763,-1.642696068548494e-05,-18.59
264,2021-12-31,1.437,5.61,3270.0411695650273,0.52439,-5.03041485115352e-06,10.1
265,2022-01-31,1.277,-10.77,49730.02100248182,0.33089,-6.854572083185835e-06,-38.9
266,2022-02-28,1.39,0.99,16533.619112981498,0.36753,-1.032371650629152e-06,11.07
267,2022-03-31,1.454,1.13,25363.933208780523,0.34578,-2.091584235407607e-06,-5.92
268,2022-04-30,1.53,-2.39,10644.945581036392,0.34349,-9.093793731543136e-06,-1.64
269,2022-05-31,1.863,-0.15,7211.372669801491,0.31715,-1.1556888913675817e-05,-7.67
270,2022-06-30,2.337,-12.85,6365.948240431706,0.25533,-1.5854345892679646e-05,-19.2
271,2022-07-31,2.341,3.34,4021.8917625638364,0.28281,-5.904463987444301e-06,8.33
