,Month,Rm,Rf,Rm-Rf,SMB,HML,AMI,PMI
0,2000-05-31,,5.12,,-6.82,-10.12,-2.476943564784733,-1.5184243672041475
1,2000-06-30,10.890985996631073,5.16,5.730985996631073,-8.71,-5.79,-11.03484434870198,-1.881581089342916
2,2000-07-31,-15.77565550520552,5.13,-20.90565550520552,11.93,12.56,2.940840253031567,-0.34496461493947095
3,2000-08-31,-2.489596047859351,5.12,-7.609596047859351,8.29,5.31,-12.09595368869492,-7.9613771615669435
4,2000-09-30,-11.85677893809111,5.09,-16.94677893809111,7.05,7.2,-11.70730198665376,-2.96887057595535
5,2000-10-31,-16.275753656079715,5.37,-21.645753656079716,6.01,-3.23,-5.161843419884008,-2.3963689343069916
6,2000-11-30,-0.8932256200911439,5.32,-6.213225620091144,-0.17,1.79,-32.17813194644131,7.738590473226026
7,2000-12-31,-1.6566324859063997,6.08,-7.7366324859064,-9.33,8.75,60.787422696825416,-20.82498595480473
8,2001-01-31,23.832731866582037,5.27,18.562731866582038,-1.25,-9.17,-0.656925193532544,-2.188732307291886
9,2001-02-28,-7.171011507984701,5.06,-12.2310115079847,14.67,8.16,-6.948092001941447,-2.0727055475176
10,2001-03-31,-8.342411325251021,4.96,-13.302411325251022,2.11,6.48,2.501364617587612,-0.7453679472695995
11,2001-04-30,10.219744385815403,5.01,5.209744385815403,-6.66,-8.27,5.3741788516424975,-6.845553654499369
12,2001-05-31,5.731693866699743,5.01,0.7216938666997432,0.58,10.82,-0.6486690223173355,7.101821467305854
13,2001-06-30,-3.2244568875354247,4.99,-8.214456887535425,3.21,12.59,-9.372898104588842,-7.61146425720618
14,2001-07-31,-8.217288893815876,4.77,-12.987288893815876,-1.14,-3.75,-16.59807697690887,-0.681054925283874
15,2001-08-31,0.20211596248482522,4.54,-4.337884037515175,-6.97,6.76,-2.777052216807604,3.722594606479575
16,2001-09-30,-12.653177426944097,4.0,-16.653177426944097,-4.48,11.45,6.2239492412721376,-1.045525949979094
17,2001-10-31,12.820617584402584,4.02,8.800617584402584,5.72,-9.83,-8.820136712470259,-2.5292407313846326
18,2001-11-30,16.92795713642137,4.04,12.88795713642137,-13.33,7.91,-0.27026534784329215,-4.595317347373637
19,2001-12-31,7.199956359045686,4.01,3.189956359045686,-8.67,2.56,11.153924163049908,9.4312204535629
20,2002-01-31,7.258400707700915,3.98,3.2784007077009147,1.26,11.69,-3.653342534476934,0.10956946376572319
21,2002-02-28,9.603228287340286,4.01,5.5932282873402865,-1.21,4.98,1.5155317383480877,1.7839985872329152
