,Month,Rm,Rf,Rm-Rf,SMB,HML,AMI,PMI
1,2000-01-31,-14.140655296735531,4.78,-18.920655296735532,-2.82,9.3,1.7212078696041146,1.5688050845777752
2,2000-02-29,-3.877127480791117,5.07,-8.947127480791117,49.52,-14.32,27.833823449067353,-1.4572593680167216
3,2000-03-31,-0.3938244274700651,5.05,-5.443824427470065,8.0,8.06,-21.957563352437404,-12.415140297934698
4,2000-04-30,-18.075537068932903,5.06,-23.1355370689329,-7.23,4.85,-8.860616545473235,-0.2949332326711698
5,2000-05-31,0.6501576590314073,5.12,-4.469842340968593,-6.82,-10.12,-24.970782686522313,5.985782808817646
6,2000-06-30,11.012357099752904,5.16,5.852357099752904,-8.71,-5.79,-5.664574470012539,0.14039799619321514
7,2000-07-31,-15.776983025783494,5.13,-20.906983025783493,11.93,12.56,-12.802855752760266,1.2229531248594157
8,2000-08-31,-2.3502725070672597,5.12,-7.47027250706726,8.29,5.31,3.502136992947726,0.05939303782432148
9,2000-09-30,-11.316367190560698,5.09,-16.406367190560697,7.05,7.2,-17.952876822292282,-3.4106852346747303
10,2000-10-31,-15.984020159376229,5.37,-21.35402015937623,6.01,-3.23,-9.90938591406129,-2.935675574856944
11,2000-11-30,-2.3865154832397764,5.32,-7.706515483239777,-0.17,1.79,-3.6447580182488934,-1.0225368722175432
12,2000-12-31,-3.9174385263362552,6.08,-9.997438526336255,-9.33,8.75,-33.093787180566295,8.669684656586497
13,2001-01-31,27.019857411943775,5.27,21.749857411943776,-1.25,-9.17,59.872256440117724,-23.450533230323998
14,2001-02-28,-6.914845836147691,5.06,-11.97484583614769,14.67,8.16,0.6888173402684004,-5.239763165525829
15,2001-03-31,-9.897168397002119,4.96,-14.85716839700212,2.11,6.48,-6.452611660644024,-2.592210509783939
16,2001-04-30,10.914994768785235,5.01,5.904994768785235,-6.66,-8.27,2.297646993093025,-0.4897547580404904
17,2001-05-31,6.918148011051329,5.01,1.9081480110513294,0.58,10.82,4.993392466062517,-6.678546568875646
18,2001-06-30,-2.4791118084318384,4.99,-7.469111808431839,3.21,12.59,-3.500659729193245,6.467970624317218
19,2001-07-31,-8.805692006393855,4.77,-13.575692006393854,-1.14,-3.75,-9.142770003577311,-7.755570570933443
20,2001-08-31,-0.8247749591793934,4.54,-5.364774959179393,-6.97,6.76,-17.234558225176315,0.03280849963432786
21,2001-09-30,-12.361845701982432,4.0,-16.361845701982432,-4.48,11.45,-3.1412618478116343,3.6615760849945787
22,2001-10-31,13.587224707580688,4.02,9.567224707580689,5.72,-9.83,7.540056554650832,0.9039639266400172
23,2001-11-30,18.16828475661501,4.04,14.12828475661501,-13.33,7.91,-6.085919715640344,-0.35190419000484496
24,2001-12-31,7.159557329450948,4.01,3.149557329450948,-8.67,2.56,-1.835815756905589,-3.786852413329015
25,2002-01-31,8.677420493355697,3.98,4.697420493355697,1.26,11.69,9.773496248548526,5.792201048354556
26,2002-02-28,8.151942306663429,4.01,4.141942306663429,-1.21,4.98,-5.961891962566639,2.4479182612175094
27,2002-03-31,11.09690765915758,4.0,7.09690765915758,1.97,-0.05,5.395552420039806,5.057503164716962
28,2002-04-30,-9.371641100913536,4.04,-13.411641100913535,-8.1,0.13,-15.894991540843648,13.908023009946021
29,2002-05-31,-4.89533683979549,4.28,-9.175336839795492,1.67,0.63,-2.2445137409385723,-3.386112572724187
30,2002-06-30,-6.697831602540518,4.26,-10.957831602540518,-4.18,3.39,-8.508538799601283,-0.2638776808323655
31,2002-07-31,-3.0986268460317348,4.27,-7.368626846031734,2.66,0.22,11.860583921891859,-6.197788322880783
32,2002-08-31,2.5617177567512073,4.28,-1.718282243248793,0.25,1.25,0.3761426837743045,-3.3509955456115392
33,2002-09-30,-13.0703378676655,4.28,-17.350337867665502,-6.45,8.09,-10.712871868084193,2.470393020818264
34,2002-10-31,2.317815890852188,4.28,-1.9621841091478123,1.96,-4.34,17.52098034384379,-3.676038785127389
35,2002-11-30,9.716609908026584,4.28,5.4366099080265835,-6.92,0.99,-3.4354192183973,0.5979791554071738
36,2002-12-31,-12.331985715148974,4.52,-16.851985715148974,-0.7,3.49,-12.38002636182533,-0.04753200901529908
37,2003-01-31,-5.55074162302067,4.34,-9.89074162302067,1.36,-0.25,4.062385527038302,2.362811673167556
38,2003-02-28,-2.81064846916442,4.27,-7.080648469164419,0.34,7.57,4.090470074117036,-2.8480812600109715
39,2003-03-31,-6.53391074216654,4.27,-10.80391074216654,-5.96,2.86,-2.816104327468622,1.4468574311420355
40,2003-04-30,12.589145069102898,4.26,8.329145069102898,-0.1,2.44,3.3440799479004397,-5.538572631379651
41,2003-05-31,6.237105444687302,4.01,2.227105444687302,3.31,-2.08,11.678304965241523,-4.0659590410184165
42,2003-06-30,5.873913603662714,4.1,1.7739136036627148,-0.79,-3.71,6.120017710798265,-1.8116000519559066
43,2003-07-31,5.678227356729224,3.75,1.9282273567292236,-5.45,-1.07,1.0317225313704057,5.441033278263376
44,2003-08-31,5.758155839247365,3.72,2.038155839247365,-8.14,10.22,-0.715431060152909,6.877903451321444
45,2003-09-30,-8.069545246453956,3.77,-11.839545246453955,1.15,5.39,-7.855006576195009,0.6199815938625619
46,2003-10-31,11.404862997315007,3.84,7.564862997315007,-11.53,2.19,-4.538146435630793,1.8025228514012497
47,2003-11-30,3.8167642936615067,3.78,0.03676429366150691,-5.84,8.99,10.67137670048983,2.8304884410980975
48,2003-12-31,2.136396830326021,3.97,-1.8336031696739794,-2.7,1.3,1.6131573178491436,0.9347398659649286
49,2004-01-31,4.257614808983703,3.78,0.47761480898370356,-6.04,-0.4,-0.21055459210712968,2.5045675280231166
50,2004-02-29,3.312155911148267,3.78,-0.467844088851733,-2.97,3.39,-2.565128470125714,2.3523997723807355
51,2004-03-31,-0.09865517893146603,3.74,-3.8386551789314662,0.21,0.17,7.113138666581449,-2.0967005776210215
