,0,1,2,3,4,5,6
2020-07-31,"['A010060', 133]","['A042670', 703]","['A005690', 794]","['A007810', 185]","['A010770', 5351]",,
2020-08-31,"['A010060', 171]","['A069620', 19]","['A019170', 4]","['A042670', 3100]","['A004830', 218]","['A010770', 5175]",
2020-09-30,"['A042670', 4780]","['A010770', 5907]",,,,,
2020-10-31,"['A069260', 246]","['A005690', 1099]","['A034120', 1535]","['A004830', 350]","['A010770', 9366]",,
2020-11-30,"['A010620', 471]","['A000210', 176]","['A000150', 180]","['A039130', 62]","['A005950', 1240]","['A004830', 174]","['A010770', 4024]"
2020-12-31,"['A069620', 255]","['A005950', 864]","['A010770', 9694]",,,,
2021-01-31,"['A039130', 65]","['A005950', 2225]","['A007810', 1134]","['A009580', 5422]","['A010770', 12289]",,
2021-02-28,"['A039130', 534]","['A002350', 12786]",,,,,
2021-03-31,"['A047050', 878]","['A039130', 237]","['A004830', 1199]","['A010770', 26163]",,,
2021-04-30,"['A047050', 689]","['A010060', 16]","['A004170', 183]","['A000150', 1276]","['A010770', 13251]",,
2021-05-31,"['A008770', 748]","['A000150', 306]","['A042670', 1724]","['A039130', 1071]",,,
2021-06-30,"['A047050', 562]","['A042670', 4537]","['A103590', 2835]","['A010770', 32464]",,,
2021-07-31,"['A047050', 3111]","['A004830', 1068]","['A010770', 50994]",,,,
2021-08-31,"['A010060', 833]","['A004830', 248]","['A010770', 53553]",,,,
2021-09-30,"['A010060', 1679]","['A000150', 132]","['A042670', 1379]","['A039130', 4051]","['A008730', 270]",,
2021-10-31,"['A000150', 1700]","['A007810', 3539]","['A004830', 1592]","['A010770', 105225]",,,
2021-11-30,"['A007810', 19229]","['A010770', 116945]",,,,,
2021-12-31,"['A039130', 1835]","['A004980', 31019]","['A010770', 109988]",,,,
2022-01-31,"['A086790', 36440]",,,,,,
2022-02-28,"['A086790', 3850]","['A010140', 149401]","['A008770', 2541]","['A004170', 1629]",,,
2022-03-31,"['A010060', 1017]","['A000150', 5651]","['A039130', 6495]","['A004830', 1874]","['A010770', 120458]",,
2022-04-30,"['A009580', 251170]","['A001790', 168289]",,,,,
2022-05-31,"['A000210', 13997]","['A001790', 71835]","['A103590', 96667]","['A010770', 232671]",,,
2022-06-30,"['A010620', 33099]",,,,,,
2022-07-31,"['A002350', 382878]","['A010770', 226214]",,,,,
